Group,Participants ,Number of pictures ,Gender,Operating system,Locatation 
Working,1,69,F,Android,China -- Shanghai
Working,2,58,F,ios,China -- Shanghai
Working,3,17,M,ios,China -- Shanghai
Working,4,108,F,ios,China -- Shanghai
Working,5,51,F,ios,China -- Hangzhou
Remote working,1,33,F,ios,China -- Shanghai
Remote working,2,27,F,Android,China -- Shandong
Remote working,3,15,F,ios,Canada -- Vancouver
Remote working,4,25,F,ios,China -- Beijing
Remote working,5,14,M,ios,China -- Qingdao
Learning,1,4,M,ios,China -- Shanghai
Learning,2,24,F,ios,China -- Shanghai
Learning,3,58,F,ios,Canada -- Toronto
Learning,4,24,M,ios,England -- Edinburgh
Learning,5,70,F,ios,China -- Shanghai
Remote learning,1,8,F,Android,China -- Shanghai
Remote learning,2,16,F,Android,China -- Neimeng
Remote learning,3,73,F,ios,China -- Hangzhou
Remote learning,4,15,F,ios,China --  Dongbei
Remote learning,5,150,M,ios,China -- Beijing
